"","TeamWin","Dragon","Herald","FirstBlood","blueWardsPlaced","blueWardsDestroyed","blueKills","blueAssists","blueTowers","blueTotalGold","blueAvgLevel","blueTotalExperience","blueMinions","blueJungleMin","GoldDiff","ExpDiff","redWardsPlaced","redWardsDestroyed","redKills","redAssists","redTowers","redTotalGold","redAvgLevel","redTotalExperience","redMinions","redJungleMin","TowersDiff","WardsPlacedDiff","WardsDestDiff","KillDiff","AssistDiff","MinionsDiff","JungleMinDiff","LevelsDiff"
"1","Red","Neither","Neither","Blue",28,2,9,11,0,17210,6.6,17039,195,36,643,-8,15,6,6,8,0,16567,6.8,17047,197,55,0,13,-4,3,3,-2,-19,-0.2
"2","Red","Red","Red","Red",12,1,5,5,0,14712,6.6,16265,174,43,-2908,-1173,12,1,5,2,1,17620,6.8,17438,240,52,-1,0,0,0,3,-66,-9,-0.2
"3","Red","Blue","Neither","Red",15,0,7,4,0,16113,6.4,16221,186,46,-1172,-1033,15,3,11,14,0,17285,6.8,17254,203,28,0,0,-3,-4,-10,-17,18,-0.399999999999999
"4","Red","Neither","Blue","Red",43,1,4,5,0,15157,7,17954,201,55,-1321,-7,15,2,5,10,0,16478,7,17961,235,47,0,28,-1,-1,-5,-34,8,0
"5","Red","Red","Neither","Red",75,4,6,6,0,16400,7,18543,210,57,-1004,230,17,2,6,7,0,17404,7,18313,225,67,0,58,2,0,-1,-15,-10,0
"6","Blue","Blue","Neither","Red",18,0,5,6,0,15899,7,18161,225,42,698,101,36,5,3,2,0,15201,7,18060,221,59,0,-18,-5,2,4,4,-17,0
"7","Blue","Blue","Neither","Blue",18,3,7,7,0,16874,6.8,16967,225,53,2411,1563,57,1,6,9,0,14463,6.4,15404,164,35,0,-39,2,1,-2,61,18,0.399999999999999
"8","Red","Red","Neither","Red",16,2,5,3,0,15305,6.4,16138,209,48,-2615,-800,15,0,13,11,0,17920,6.6,16938,157,54,0,1,2,-8,-8,52,-6,-0.199999999999999
"9","Red","Red","Red","Red",16,3,7,8,0,16401,7.2,18527,189,61,-1979,-771,15,2,7,5,0,18380,7.2,19298,240,53,0,1,1,0,3,-51,8,0
"10","Blue","Blue","Neither","Blue",13,1,4,5,0,15057,6.8,16805,220,39,-1548,-1574,16,2,5,4,0,16605,6.8,18379,247,43,0,-3,-1,-1,1,-27,-4,0
"11","Red","Red","Neither","Blue",20,3,4,6,0,15474,6.6,16611,231,28,331,-1585,15,2,4,5,0,15143,7.2,18196,216,51,0,5,1,0,1,15,-23,-0.600000000000001
"12","Red","Neither","Blue","Blue",33,2,11,7,0,16695,7,18507,157,40,-1505,-635,17,1,11,9,0,18200,7,19142,188,52,0,16,1,0,-2,-31,-12,0
"13","Blue","Blue","Neither","Blue",18,1,7,11,0,17865,7.4,19102,238,53,3274,1659,12,1,1,1,0,14591,6.8,17443,240,50,0,6,0,6,10,-2,3,0.600000000000001
"14","Red","Neither","Blue","Red",14,3,4,1,0,14979,6.6,17213,210,52,-3414,-1141,20,3,9,11,0,18393,7.2,18354,229,51,0,-6,0,-5,-10,-19,1,-0.600000000000001
"15","Blue","Neither","Neither","Blue",15,3,4,4,0,15722,6.8,17896,224,51,-470,-187,102,1,4,3,0,16192,7,18083,242,48,0,-87,2,0,1,-18,3,-0.2
"16","Red","Neither","Neither","Red",17,1,3,3,0,15015,6.8,16974,209,53,-1996,-1804,18,3,7,13,0,17011,7.2,18778,237,51,0,-1,-2,-4,-10,-28,2,-0.4
"17","Blue","Red","Neither","Blue",14,1,10,8,0,19733,7.6,20862,263,56,5228,3378,13,2,2,2,0,14505,6.8,17484,210,64,0,1,-1,8,6,53,-8,0.8
"18","Red","Neither","Blue","Red",43,3,3,3,0,14852,6.8,16888,203,54,-1975,-1345,17,14,7,6,0,16827,6.8,18233,218,53,0,26,-11,-4,-3,-15,1,0
"19","Blue","Red","Red","Blue",21,4,5,11,0,16282,6.8,17378,213,49,882,512,19,3,4,3,0,15400,6.6,16866,228,52,0,2,1,1,8,-15,-3,0.2
"20","Red","Neither","Neither","Red",11,3,5,5,0,14994,7,17924,188,48,-3155,-2773,15,1,9,9,0,18149,7.4,20697,219,56,0,-4,2,-4,-4,-31,-8,-0.4
"21","Blue","Blue","Neither","Blue",14,3,11,15,0,18606,7.2,19254,214,45,2526,1625,12,2,6,4,0,16080,7,17629,225,48,0,2,1,5,11,-11,-3,0.2
"22","Red","Red","Neither","Red",13,1,4,5,0,15878,6.8,16945,203,43,-2835,-2821,15,3,13,14,0,18713,7.2,19766,209,45,0,-2,-2,-9,-9,-6,-2,-0.4
